Algorithme,ArrayFactory,Taille,Temps[ms]
SelectionSort,RandomArrayFactory,100,1
SelectionSort,RandomArrayFactory,100,1
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,1
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,1
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
YSort,RandomArrayFactory,100,0
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,0
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,1000,0
SelectionSort,RandomArrayFactory,1000,1
YSort,RandomArrayFactory,1000,1
YSort,RandomArrayFactory,1000,0
YSort,RandomArrayFactory,1000,1
YSort,RandomArrayFactory,1000,0
YSort,RandomArrayFactory,1000,1
YSort,RandomArrayFactory,1000,0
YSort,RandomArrayFactory,1000,0
YSort,RandomArrayFactory,1000,1
YSort,RandomArrayFactory,1000,0
YSort,RandomArrayFactory,1000,1
SelectionSort,RandomArrayFactory,10000,104
SelectionSort,RandomArrayFactory,10000,90
SelectionSort,RandomArrayFactory,10000,94
SelectionSort,RandomArrayFactory,10000,93
SelectionSort,RandomArrayFactory,10000,94
SelectionSort,RandomArrayFactory,10000,91
SelectionSort,RandomArrayFactory,10000,91
SelectionSort,RandomArrayFactory,10000,90
SelectionSort,RandomArrayFactory,10000,92
SelectionSort,RandomArrayFactory,10000,89
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,0
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,0
YSort,RandomArrayFactory,10000,0
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,1
YSort,RandomArrayFactory,10000,1
SelectionSort,RandomArrayFactory,50000,3151
SelectionSort,RandomArrayFactory,50000,3165
SelectionSort,RandomArrayFactory,50000,3165
SelectionSort,RandomArrayFactory,50000,3143
SelectionSort,RandomArrayFactory,50000,3184
SelectionSort,RandomArrayFactory,50000,3222
SelectionSort,RandomArrayFactory,50000,3140
SelectionSort,RandomArrayFactory,50000,3136
SelectionSort,RandomArrayFactory,50000,3147
SelectionSort,RandomArrayFactory,50000,3151
YSort,RandomArrayFactory,50000,5
YSort,RandomArrayFactory,50000,4
YSort,RandomArrayFactory,50000,4
YSort,RandomArrayFactory,50000,6
YSort,RandomArrayFactory,50000,5
YSort,RandomArrayFactory,50000,4
YSort,RandomArrayFactory,50000,4
YSort,RandomArrayFactory,50000,4
YSort,RandomArrayFactory,50000,5
YSort,RandomArrayFactory,50000,5
SelectionSort,RandomArrayFactory,100000,13561
SelectionSort,RandomArrayFactory,100000,13194
SelectionSort,RandomArrayFactory,100000,13142
SelectionSort,RandomArrayFactory,100000,13124
SelectionSort,RandomArrayFactory,100000,13175
SelectionSort,RandomArrayFactory,100000,13218
SelectionSort,RandomArrayFactory,100000,13330
SelectionSort,RandomArrayFactory,100000,13167
SelectionSort,RandomArrayFactory,100000,13123
SelectionSort,RandomArrayFactory,100000,13185
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
YSort,RandomArrayFactory,100000,9
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
YSort,AlmostSortedArrayFactory,100,0
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,1
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,1
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,0
SelectionSort,AlmostSortedArrayFactory,1000,1
YSort,AlmostSortedArrayFactory,1000,0
YSort,AlmostSortedArrayFactory,1000,0
YSort,AlmostSortedArrayFactory,1000,0
YSort,AlmostSortedArrayFactory,1000,0
